============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme0

epoca  129 | train 0.62559 | val 0.62510 | AUC 0.7044 | lr 0.003789 | mom 0.958 | 169.0 min
epoca  130 | train 0.62559 | val 0.62657 | AUC 0.7012 | lr 0.003714 | mom 0.958 | 170.3 min
epoca  131 | train 0.62554 | val 0.62614 | AUC 0.7026 | lr 0.003640 | mom 0.959 | 171.6 min
epoca  132 | train 0.62552 | val 0.62457 | AUC 0.7036 | lr 0.003568 | mom 0.959 | 172.9 min
epoca  133 | train 0.62547 | val 0.62457 | AUC 0.7043 | lr 0.003497 | mom 0.959 | 174.3 min
epoca  134 | train 0.62554 | val 0.62619 | AUC 0.7009 | lr 0.003428 | mom 0.960 | 175.6 min
epoca  135 | train 0.62543 | val 0.62454 | AUC 0.7032 | lr 0.003360 | mom 0.960 | 177.0 min
epoca  136 | train 0.62540 | val 0.62495 | AUC 0.7031 | lr 0.003294 | mom 0.961 | 178.3 min
epoca  137 | train 0.62539 | val 0.62487 | AUC 0.7032 | lr 0.003229 | mom 0.961 | 179.6 min
epoca  138 | train 0.62541 | val 0.62455 | AUC 0.7041 | lr 0.003165 | mom 0.962 | 180.9 min
epoca  139 | train 0.62539 | val 0.62457 | AUC 0.7037 | lr 0.003102 | mom 0.962 | 182.2 min
epoca  140 | train 0.62534 | val 0.62579 | AUC 0.7019 | lr 0.003041 | mom 0.963 | 183.6 min
epoca  141 | train 0.62534 | val 0.62563 | AUC 0.7044 | lr 0.002980 | mom 0.963 | 184.9 min
epoca  142 | train 0.62530 | val 0.62649 | AUC 0.7007 | lr 0.002921 | mom 0.963 | 186.2 min
epoca  143 | train 0.62530 | val 0.62766 | AUC 0.7035 | lr 0.002863 | mom 0.964 | 187.5 min
epoca  144 | train 0.62523 | val 0.62508 | AUC 0.7031 | lr 0.002807 | mom 0.964 | 188.8 min
epoca  145 | train 0.62525 | val 0.62455 | AUC 0.7039 | lr 0.002751 | mom 0.965 | 190.1 min
epoca  146 | train 0.62520 | val 0.62494 | AUC 0.7026 | lr 0.002697 | mom 0.965 | 191.4 min
epoca  147 | train 0.62517 | val 0.62450 | AUC 0.7041 | lr 0.002643 | mom 0.966 | 192.7 min
epoca  148 | train 0.62519 | val 0.62397 | AUC 0.7042 | lr 0.002591 | mom 0.966 | 194.0 min
epoca  149 | train 0.62520 | val 0.62458 | AUC 0.7041 | lr 0.002540 | mom 0.967 | 195.3 min
epoca  150 | train 0.62515 | val 0.62416 | AUC 0.7039 | lr 0.002489 | mom 0.967 | 196.7 min
epoca  151 | train 0.62517 | val 0.62469 | AUC 0.7034 | lr 0.002440 | mom 0.968 | 198.0 min
epoca  152 | train 0.62511 | val 0.62643 | AUC 0.7030 | lr 0.002392 | mom 0.968 | 199.3 min
epoca  153 | train 0.62515 | val 0.62786 | AUC 0.7017 | lr 0.002344 | mom 0.968 | 200.6 min
epoca  154 | train 0.62511 | val 0.62377 | AUC 0.7046 | lr 0.002298 | mom 0.969 | 201.9 min
epoca  155 | train 0.62509 | val 0.62517 | AUC 0.7032 | lr 0.002252 | mom 0.969 | 203.2 min
epoca  156 | train 0.62506 | val 0.62567 | AUC 0.7041 | lr 0.002208 | mom 0.970 | 204.5 min
epoca  157 | train 0.62503 | val 0.62431 | AUC 0.7044 | lr 0.002164 | mom 0.970 | 205.8 min
epoca  158 | train 0.62506 | val 0.62545 | AUC 0.7039 | lr 0.002121 | mom 0.971 | 207.2 min
epoca  159 | train 0.62505 | val 0.62379 | AUC 0.7048 | lr 0.002079 | mom 0.971 | 208.5 min
epoca  160 | train 0.62505 | val 0.62537 | AUC 0.7027 | lr 0.002038 | mom 0.972 | 209.8 min
epoca  161 | train 0.62502 | val 0.62436 | AUC 0.7033 | lr 0.001998 | mom 0.972 | 211.1 min
epoca  162 | train 0.62501 | val 0.62499 | AUC 0.7025 | lr 0.001958 | mom 0.972 | 212.4 min
epoca  163 | train 0.62499 | val 0.62389 | AUC 0.7046 | lr 0.001919 | mom 0.973 | 213.8 min
epoca  164 | train 0.62501 | val 0.62382 | AUC 0.7048 | lr 0.001881 | mom 0.973 | 215.1 min
epoca  165 | train 0.62500 | val 0.62433 | AUC 0.7039 | lr 0.001844 | mom 0.974 | 216.4 min
epoca  166 | train 0.62497 | val 0.62612 | AUC 0.7037 | lr 0.001808 | mom 0.974 | 217.7 min
epoca  167 | train 0.62496 | val 0.62370 | AUC 0.7044 | lr 0.001772 | mom 0.975 | 219.0 min
epoca  168 | train 0.62496 | val 0.62416 | AUC 0.7055 | lr 0.001737 | mom 0.975 | 220.3 min
epoca  169 | train 0.62494 | val 0.62551 | AUC 0.7031 | lr 0.001702 | mom 0.976 | 221.6 min
epoca  170 | train 0.62494 | val 0.62448 | AUC 0.7051 | lr 0.001669 | mom 0.976 | 223.0 min
epoca  171 | train 0.62499 | val 0.62405 | AUC 0.7038 | lr 0.001636 | mom 0.977 | 224.3 min
