============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca  117 | train 0.45996 | val 0.46168 | AUC 0.8621 | lr 0.004816 | mom 0.952 | 165.7 min
epoca  118 | train 0.45970 | val 0.46054 | AUC 0.8623 | lr 0.004721 | mom 0.953 | 167.1 min
epoca  119 | train 0.45957 | val 0.46374 | AUC 0.8602 | lr 0.004628 | mom 0.953 | 168.5 min
epoca  120 | train 0.45935 | val 0.45961 | AUC 0.8623 | lr 0.004536 | mom 0.954 | 169.9 min
epoca  121 | train 0.45905 | val 0.46180 | AUC 0.8607 | lr 0.004446 | mom 0.954 | 171.4 min
epoca  122 | train 0.45882 | val 0.46270 | AUC 0.8605 | lr 0.004358 | mom 0.954 | 172.8 min
epoca  123 | train 0.45864 | val 0.46360 | AUC 0.8599 | lr 0.004272 | mom 0.955 | 174.2 min
epoca  124 | train 0.45839 | val 0.45884 | AUC 0.8624 | lr 0.004187 | mom 0.955 | 175.6 min
epoca  125 | train 0.45818 | val 0.46139 | AUC 0.8624 | lr 0.004104 | mom 0.956 | 177.0 min
epoca  126 | train 0.45795 | val 0.45879 | AUC 0.8629 | lr 0.004023 | mom 0.956 | 178.4 min
epoca  127 | train 0.45771 | val 0.45904 | AUC 0.8623 | lr 0.003943 | mom 0.957 | 179.8 min
epoca  128 | train 0.45745 | val 0.45764 | AUC 0.8633 | lr 0.003865 | mom 0.957 | 181.3 min
epoca  129 | train 0.45722 | val 0.46121 | AUC 0.8626 | lr 0.003789 | mom 0.958 | 182.7 min
epoca  130 | train 0.45700 | val 0.45888 | AUC 0.8626 | lr 0.003714 | mom 0.958 | 184.1 min
epoca  131 | train 0.45668 | val 0.46254 | AUC 0.8626 | lr 0.003640 | mom 0.959 | 185.5 min
epoca  132 | train 0.45651 | val 0.45919 | AUC 0.8631 | lr 0.003568 | mom 0.959 | 186.9 min
epoca  133 | train 0.45632 | val 0.45647 | AUC 0.8641 | lr 0.003497 | mom 0.959 | 188.3 min
epoca  134 | train 0.45615 | val 0.46022 | AUC 0.8633 | lr 0.003428 | mom 0.960 | 189.8 min
epoca  135 | train 0.45587 | val 0.45725 | AUC 0.8635 | lr 0.003360 | mom 0.960 | 191.2 min
epoca  136 | train 0.45568 | val 0.45785 | AUC 0.8638 | lr 0.003294 | mom 0.961 | 192.6 min
epoca  137 | train 0.45550 | val 0.45612 | AUC 0.8645 | lr 0.003229 | mom 0.961 | 194.0 min
epoca  138 | train 0.45537 | val 0.45875 | AUC 0.8627 | lr 0.003165 | mom 0.962 | 195.4 min
epoca  139 | train 0.45514 | val 0.45829 | AUC 0.8635 | lr 0.003102 | mom 0.962 | 196.8 min
epoca  140 | train 0.45492 | val 0.45879 | AUC 0.8628 | lr 0.003041 | mom 0.963 | 198.3 min
epoca  141 | train 0.45477 | val 0.45473 | AUC 0.8655 | lr 0.002980 | mom 0.963 | 199.7 min
epoca  142 | train 0.45454 | val 0.45715 | AUC 0.8646 | lr 0.002921 | mom 0.963 | 201.1 min
epoca  143 | train 0.45444 | val 0.45502 | AUC 0.8651 | lr 0.002863 | mom 0.964 | 202.5 min
epoca  144 | train 0.45414 | val 0.45606 | AUC 0.8645 | lr 0.002807 | mom 0.964 | 203.9 min
epoca  145 | train 0.45404 | val 0.45732 | AUC 0.8639 | lr 0.002751 | mom 0.965 | 205.3 min
epoca  146 | train 0.45385 | val 0.45762 | AUC 0.8639 | lr 0.002697 | mom 0.965 | 206.8 min
epoca  147 | train 0.45367 | val 0.45721 | AUC 0.8639 | lr 0.002643 | mom 0.966 | 208.2 min
epoca  148 | train 0.45356 | val 0.45825 | AUC 0.8630 | lr 0.002591 | mom 0.966 | 209.6 min
epoca  149 | train 0.45327 | val 0.45834 | AUC 0.8659 | lr 0.002540 | mom 0.967 | 211.0 min
epoca  150 | train 0.45319 | val 0.45903 | AUC 0.8662 | lr 0.002489 | mom 0.967 | 212.4 min
epoca  151 | train 0.45299 | val 0.45426 | AUC 0.8662 | lr 0.002440 | mom 0.968 | 213.8 min
epoca  152 | train 0.45287 | val 0.45381 | AUC 0.8661 | lr 0.002392 | mom 0.968 | 215.3 min
epoca  153 | train 0.45268 | val 0.45902 | AUC 0.8648 | lr 0.002344 | mom 0.968 | 216.7 min
epoca  154 | train 0.45257 | val 0.45545 | AUC 0.8648 | lr 0.002298 | mom 0.969 | 218.1 min
epoca  155 | train 0.45242 | val 0.45642 | AUC 0.8659 | lr 0.002252 | mom 0.969 | 219.5 min
epoca  156 | train 0.45225 | val 0.45427 | AUC 0.8657 | lr 0.002208 | mom 0.970 | 220.9 min
epoca  157 | train 0.45214 | val 0.45533 | AUC 0.8650 | lr 0.002164 | mom 0.970 | 222.3 min
epoca  158 | train 0.45196 | val 0.45485 | AUC 0.8659 | lr 0.002121 | mom 0.971 | 223.7 min
epoca  159 | train 0.45197 | val 0.45483 | AUC 0.8655 | lr 0.002079 | mom 0.971 | 225.2 min
epoca  160 | train 0.45184 | val 0.45697 | AUC 0.8638 | lr 0.002038 | mom 0.972 | 226.6 min
epoca  161 | train 0.45176 | val 0.45328 | AUC 0.8670 | lr 0.001998 | mom 0.972 | 228.0 min
epoca  162 | train 0.45154 | val 0.45671 | AUC 0.8653 | lr 0.001958 | mom 0.972 | 229.4 min
epoca  163 | train 0.45149 | val 0.45696 | AUC 0.8657 | lr 0.001919 | mom 0.973 | 230.8 min
epoca  164 | train 0.45142 | val 0.45441 | AUC 0.8658 | lr 0.001881 | mom 0.973 | 232.2 min
epoca  165 | train 0.45129 | val 0.45250 | AUC 0.8667 | lr 0.001844 | mom 0.974 | 233.7 min
epoca  166 | train 0.45121 | val 0.45135 | AUC 0.8675 | lr 0.001808 | mom 0.974 | 235.1 min
