============================================================
Configurazione : deep_low
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_low_seme0

epoca  139 | train 0.46524 | val 0.46715 | AUC 0.8568 | lr 0.000002 | mom 0.900 | 234.7 min
epoca  140 | train 0.46519 | val 0.46709 | AUC 0.8568 | lr 0.000002 | mom 0.900 | 235.7 min
epoca  141 | train 0.46514 | val 0.46705 | AUC 0.8569 | lr 0.000002 | mom 0.900 | 236.7 min
epoca  142 | train 0.46509 | val 0.46700 | AUC 0.8569 | lr 0.000002 | mom 0.900 | 237.7 min
epoca  143 | train 0.46504 | val 0.46699 | AUC 0.8569 | lr 0.000002 | mom 0.900 | 238.7 min
epoca  144 | train 0.46499 | val 0.46693 | AUC 0.8569 | lr 0.000002 | mom 0.900 | 239.7 min
epoca  145 | train 0.46495 | val 0.46688 | AUC 0.8570 | lr 0.000002 | mom 0.900 | 240.7 min
epoca  146 | train 0.46491 | val 0.46686 | AUC 0.8570 | lr 0.000002 | mom 0.900 | 241.7 min
epoca  147 | train 0.46486 | val 0.46681 | AUC 0.8570 | lr 0.000002 | mom 0.900 | 242.7 min
epoca  148 | train 0.46482 | val 0.46681 | AUC 0.8570 | lr 0.000002 | mom 0.900 | 243.7 min
epoca  149 | train 0.46478 | val 0.46676 | AUC 0.8570 | lr 0.000002 | mom 0.900 | 244.7 min
epoca  150 | train 0.46474 | val 0.46674 | AUC 0.8571 | lr 0.000002 | mom 0.900 | 245.7 min
epoca  151 | train 0.46470 | val 0.46670 | AUC 0.8571 | lr 0.000002 | mom 0.900 | 246.7 min
epoca  152 | train 0.46466 | val 0.46662 | AUC 0.8571 | lr 0.000002 | mom 0.900 | 247.7 min
epoca  153 | train 0.46463 | val 0.46661 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 248.7 min
epoca  154 | train 0.46459 | val 0.46661 | AUC 0.8571 | lr 0.000002 | mom 0.900 | 249.6 min
epoca  155 | train 0.46456 | val 0.46657 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 250.6 min
epoca  156 | train 0.46452 | val 0.46654 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 251.6 min
epoca  157 | train 0.46449 | val 0.46655 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 252.6 min
epoca  158 | train 0.46446 | val 0.46649 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 253.6 min
epoca  159 | train 0.46443 | val 0.46646 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 254.6 min
epoca  160 | train 0.46439 | val 0.46647 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 255.6 min
epoca  161 | train 0.46437 | val 0.46641 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 256.6 min
epoca  162 | train 0.46433 | val 0.46641 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 257.6 min
epoca  163 | train 0.46431 | val 0.46639 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 258.6 min
epoca  164 | train 0.46428 | val 0.46636 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 259.6 min
epoca  165 | train 0.46425 | val 0.46632 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 260.6 min
epoca  166 | train 0.46422 | val 0.46632 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 261.6 min
epoca  167 | train 0.46419 | val 0.46627 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 262.6 min
epoca  168 | train 0.46416 | val 0.46629 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 263.6 min
epoca  169 | train 0.46414 | val 0.46624 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 264.6 min
epoca  170 | train 0.46411 | val 0.46626 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 265.6 min
epoca  171 | train 0.46409 | val 0.46619 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 266.6 min
epoca  172 | train 0.46406 | val 0.46615 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 267.6 min
epoca  173 | train 0.46404 | val 0.46615 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 268.6 min
epoca  174 | train 0.46401 | val 0.46616 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 269.6 min
epoca  175 | train 0.46399 | val 0.46613 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 270.5 min
epoca  176 | train 0.46396 | val 0.46607 | AUC 0.8575 | lr 0.000002 | mom 0.900 | 271.5 min
epoca  177 | train 0.46394 | val 0.46615 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 272.5 min
epoca  178 | train 0.46392 | val 0.46606 | AUC 0.8575 | lr 0.000002 | mom 0.900 | 273.5 min
epoca  179 | train 0.46390 | val 0.46609 | AUC 0.8575 | lr 0.000002 | mom 0.900 | 274.5 min
epoca  180 | train 0.46388 | val 0.46604 | AUC 0.8575 | lr 0.000001 | mom 0.900 | 275.5 min
epoca  181 | train 0.46375 | val 0.46598 | AUC 0.8575 | lr 0.000001 | mom 0.900 | 276.5 min
epoca  182 | train 0.46374 | val 0.46597 | AUC 0.8575 | lr 0.000001 | mom 0.900 | 277.5 min
epoca  183 | train 0.46372 | val 0.46596 | AUC 0.8576 | lr 0.000001 | mom 0.900 | 278.5 min
epoca  184 | train 0.46371 | val 0.46593 | AUC 0.8576 | lr 0.000001 | mom 0.900 | 279.5 min
epoca  185 | train 0.46370 | val 0.46596 | AUC 0.8576 | lr 0.000001 | mom 0.900 | 280.5 min
epoca  186 | train 0.46364 | val 0.46593 | AUC 0.8576 | lr 0.000001 | mom 0.900 | 281.5 min
epoca  187 | train 0.46363 | val 0.46592 | AUC 0.8576 | lr 0.000001 | mom 0.900 | 282.5 min
epoca  188 | train 0.46362 | val 0.46592 | AUC 0.8576 | lr 0.000001 | mom 0.900 | 283.5 min
epoca  189 | train 0.46362 | val 0.46592 | AUC 0.8576 | lr 0.000001 | mom 0.900 | 284.5 min
epoca  190 | train 0.46361 | val 0.46591 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 285.5 min
epoca  191 | train 0.46358 | val 0.46589 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 286.5 min
epoca  192 | train 0.46357 | val 0.46590 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 287.5 min
epoca  193 | train 0.46357 | val 0.46589 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 288.5 min
epoca  194 | train 0.46357 | val 0.46590 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 289.5 min
epoca  195 | train 0.46355 | val 0.46590 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 290.5 min
epoca  196 | train 0.46355 | val 0.46589 | AUC 0.8576 | lr 0.000000 | mom 0.900 | 291.5 min
