============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [2, 3, 4, 2]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme2

epoca  161 | train 0.52822 | val 0.53526 | AUC 0.8114 | lr 0.021646 | mom 0.972 | 46.4 min
epoca  162 | train 0.52894 | val 0.52632 | AUC 0.8116 | lr 0.021534 | mom 0.972 | 46.7 min
epoca  163 | train 0.52985 | val 0.52155 | AUC 0.8173 | lr 0.021422 | mom 0.973 | 46.9 min
epoca  164 | train 0.53060 | val 0.53017 | AUC 0.8169 | lr 0.021311 | mom 0.973 | 47.2 min
epoca  165 | train 0.53212 | val 0.53158 | AUC 0.8081 | lr 0.021200 | mom 0.974 | 47.5 min
epoca  166 | train 0.53263 | val 0.52817 | AUC 0.8123 | lr 0.021091 | mom 0.974 | 47.8 min
epoca  167 | train 0.53416 | val 0.52922 | AUC 0.8128 | lr 0.020981 | mom 0.975 | 48.1 min
epoca  168 | train 0.53482 | val 0.53253 | AUC 0.8105 | lr 0.020872 | mom 0.975 | 48.4 min
epoca  169 | train 0.53688 | val 0.53047 | AUC 0.8082 | lr 0.020764 | mom 0.976 | 48.7 min
epoca  170 | train 0.53830 | val 0.53544 | AUC 0.8049 | lr 0.020656 | mom 0.976 | 49.0 min
epoca  171 | train 0.54012 | val 0.55404 | AUC 0.8059 | lr 0.020549 | mom 0.977 | 49.3 min
epoca  172 | train 0.54138 | val 0.52857 | AUC 0.8115 | lr 0.020443 | mom 0.977 | 49.5 min
epoca  173 | train 0.54580 | val 0.54676 | AUC 0.7957 | lr 0.020337 | mom 0.977 | 49.8 min
epoca  174 | train 0.55007 | val 0.58688 | AUC 0.7952 | lr 0.020231 | mom 0.978 | 50.1 min
epoca  175 | train 0.55733 | val 0.55573 | AUC 0.7836 | lr 0.020126 | mom 0.978 | 50.4 min
epoca  176 | train 0.57251 | val 0.67168 | AUC 0.7667 | lr 0.020022 | mom 0.979 | 50.7 min
epoca  177 | train 0.68568 | val 0.62530 | AUC 0.7336 | lr 0.019918 | mom 0.979 | 51.0 min
epoca  178 | train 0.77039 | val 0.90134 | AUC 0.6250 | lr 0.019815 | mom 0.980 | 51.3 min
epoca  179 | train 0.80028 | val 0.76337 | AUC 0.6920 | lr 0.019712 | mom 0.980 | 51.6 min
epoca  180 | train 0.81971 | val 0.73259 | AUC 0.7035 | lr 0.019610 | mom 0.981 | 51.9 min
epoca  181 | train 0.83370 | val 1.33551 | AUC 0.6714 | lr 0.019508 | mom 0.981 | 52.2 min
epoca  182 | train 0.84924 | val 0.81250 | AUC 0.6762 | lr 0.019407 | mom 0.981 | 52.4 min
epoca  183 | train 0.85081 | val 0.81313 | AUC 0.6367 | lr 0.019306 | mom 0.982 | 52.7 min
epoca  184 | train 0.86568 | val 1.21050 | AUC 0.6786 | lr 0.019206 | mom 0.982 | 53.0 min
epoca  185 | train 0.90832 | val 1.01308 | AUC 0.6581 | lr 0.019106 | mom 0.983 | 53.3 min
epoca  186 | train 0.92318 | val 0.84532 | AUC 0.6399 | lr 0.019007 | mom 0.983 | 53.6 min
epoca  187 | train 0.90671 | val 0.82996 | AUC 0.6883 | lr 0.018909 | mom 0.984 | 53.9 min
epoca  188 | train 0.90741 | val 0.99771 | AUC 0.6773 | lr 0.018811 | mom 0.984 | 54.2 min
epoca  189 | train 0.91306 | val 0.88263 | AUC 0.6838 | lr 0.018713 | mom 0.985 | 54.5 min
epoca  190 | train 0.93963 | val 0.67556 | AUC 0.6610 | lr 0.018616 | mom 0.985 | 54.8 min
epoca  191 | train 1.00222 | val 0.90391 | AUC 0.6884 | lr 0.018519 | mom 0.986 | 55.0 min
epoca  192 | train 0.99271 | val 0.94668 | AUC 0.6752 | lr 0.018423 | mom 0.986 | 55.3 min
epoca  193 | train 1.01366 | val 0.92908 | AUC 0.6817 | lr 0.018328 | mom 0.986 | 55.6 min
epoca  194 | train 1.05750 | val 0.75525 | AUC 0.6537 | lr 0.018233 | mom 0.987 | 55.9 min
epoca  195 | train 1.10301 | val 0.78592 | AUC 0.6523 | lr 0.018138 | mom 0.987 | 56.2 min
epoca  196 | train 1.24519 | val 0.75094 | AUC 0.4873 | lr 0.018044 | mom 0.988 | 56.5 min
epoca  197 | train 1.09886 | val 0.71466 | AUC 0.6358 | lr 0.017951 | mom 0.988 | 56.8 min
epoca  198 | train 1.10106 | val 2.00232 | AUC 0.6394 | lr 0.017857 | mom 0.989 | 57.1 min
epoca  199 | train 1.12144 | val 0.73136 | AUC 0.6280 | lr 0.017765 | mom 0.989 | 57.4 min
epoca  200 | train 1.42043 | val 2.59663 | AUC 0.5384 | lr 0.017673 | mom 0.990 | 57.7 min
epoca  201 | train 1.43931 | val 0.72461 | AUC 0.5477 | lr 0.017581 | mom 0.990 | 57.9 min

Fermato: nessun miglioramento da 10 epoche.

Migliore perdita di validation: 0.51337
Epoche eseguite: 201
Tempo totale: 57.9 min

[seme 2] TEST: perdita 0.51253, AUC 0.8245

------------------------------------------------------------
[seme 3] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme3

epoca    1 | train 0.63059 | val 0.60291 | AUC 0.7338 | lr 0.049741 | mom 0.900 | 0.3 min
epoca    2 | train 0.59542 | val 0.58283 | AUC 0.7594 | lr 0.049483 | mom 0.900 | 0.6 min
epoca    3 | train 0.57965 | val 0.57781 | AUC 0.7678 | lr 0.049226 | mom 0.901 | 0.9 min
epoca    4 | train 0.57083 | val 0.56420 | AUC 0.7767 | lr 0.048971 | mom 0.901 | 1.2 min
epoca    5 | train 0.56472 | val 0.56693 | AUC 0.7780 | lr 0.048717 | mom 0.902 | 1.4 min
epoca    6 | train 0.55993 | val 0.55719 | AUC 0.7834 | lr 0.048464 | mom 0.902 | 1.7 min
