============================================================
Configurazione : shallow_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_complete_seme0

epoca  147 | train 0.53387 | val 0.54004 | AUC 0.8070 | lr 0.002643 | mom 0.966 | 196.5 min
epoca  148 | train 0.53382 | val 0.53148 | AUC 0.8081 | lr 0.002591 | mom 0.966 | 197.9 min
epoca  149 | train 0.53378 | val 0.53167 | AUC 0.8079 | lr 0.002540 | mom 0.967 | 199.2 min
epoca  150 | train 0.53373 | val 0.53273 | AUC 0.8069 | lr 0.002489 | mom 0.967 | 200.5 min
epoca  151 | train 0.53376 | val 0.53237 | AUC 0.8074 | lr 0.002440 | mom 0.968 | 201.9 min
epoca  152 | train 0.53369 | val 0.53230 | AUC 0.8073 | lr 0.002392 | mom 0.968 | 203.2 min
epoca  153 | train 0.53351 | val 0.53171 | AUC 0.8075 | lr 0.002344 | mom 0.968 | 204.5 min
epoca  154 | train 0.53330 | val 0.53202 | AUC 0.8087 | lr 0.002298 | mom 0.969 | 205.9 min
epoca  155 | train 0.53323 | val 0.53211 | AUC 0.8074 | lr 0.002252 | mom 0.969 | 207.2 min
epoca  156 | train 0.53310 | val 0.53332 | AUC 0.8069 | lr 0.002208 | mom 0.970 | 208.5 min
epoca  157 | train 0.53302 | val 0.53042 | AUC 0.8087 | lr 0.002164 | mom 0.970 | 209.8 min
epoca  158 | train 0.53289 | val 0.53020 | AUC 0.8090 | lr 0.002121 | mom 0.971 | 211.2 min
epoca  159 | train 0.53280 | val 0.53137 | AUC 0.8095 | lr 0.002079 | mom 0.971 | 212.5 min
epoca  160 | train 0.53272 | val 0.53115 | AUC 0.8081 | lr 0.002038 | mom 0.972 | 213.9 min
epoca  161 | train 0.53257 | val 0.53270 | AUC 0.8085 | lr 0.001998 | mom 0.972 | 215.2 min
epoca  162 | train 0.53247 | val 0.53229 | AUC 0.8077 | lr 0.001958 | mom 0.972 | 216.5 min
epoca  163 | train 0.53229 | val 0.53126 | AUC 0.8080 | lr 0.001919 | mom 0.973 | 217.9 min
