============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0, 1, 2]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca  146 | train 0.52214 | val 0.53890 | AUC 0.8162 | lr 0.023402 | mom 0.965 | 42.1 min
epoca  147 | train 0.52247 | val 0.52282 | AUC 0.8165 | lr 0.023281 | mom 0.966 | 42.4 min
epoca  148 | train 0.52324 | val 0.52409 | AUC 0.8177 | lr 0.023160 | mom 0.966 | 42.6 min
epoca  149 | train 0.52350 | val 0.52926 | AUC 0.8164 | lr 0.023040 | mom 0.967 | 42.9 min
epoca  150 | train 0.52393 | val 0.52737 | AUC 0.8155 | lr 0.022920 | mom 0.967 | 43.2 min
epoca  151 | train 0.52423 | val 0.52549 | AUC 0.8148 | lr 0.022801 | mom 0.968 | 43.5 min
epoca  152 | train 0.52538 | val 0.52263 | AUC 0.8162 | lr 0.022683 | mom 0.968 | 43.8 min
epoca  153 | train 0.52467 | val 0.52759 | AUC 0.8149 | lr 0.022566 | mom 0.968 | 44.1 min
epoca  154 | train 0.52566 | val 0.52502 | AUC 0.8125 | lr 0.022448 | mom 0.969 | 44.4 min
epoca  155 | train 0.52611 | val 0.52545 | AUC 0.8139 | lr 0.022332 | mom 0.969 | 44.7 min
epoca  156 | train 0.52679 | val 0.52912 | AUC 0.8132 | lr 0.022216 | mom 0.970 | 45.0 min
epoca  157 | train 0.52796 | val 0.54684 | AUC 0.8108 | lr 0.022101 | mom 0.970 | 45.2 min
epoca  158 | train 0.52757 | val 0.53349 | AUC 0.8103 | lr 0.021986 | mom 0.971 | 45.5 min
epoca  159 | train 0.52859 | val 0.53657 | AUC 0.8105 | lr 0.021872 | mom 0.971 | 45.8 min
epoca  160 | train 0.52946 | val 0.52450 | AUC 0.8150 | lr 0.021759 | mom 0.972 | 46.1 min
epoca  161 | train 0.53012 | val 0.52868 | AUC 0.8100 | lr 0.021646 | mom 0.972 | 46.4 min
epoca  162 | train 0.53086 | val 0.53006 | AUC 0.8096 | lr 0.021534 | mom 0.972 | 46.7 min
epoca  163 | train 0.53215 | val 0.53427 | AUC 0.8116 | lr 0.021422 | mom 0.973 | 47.0 min
epoca  164 | train 0.53386 | val 0.53572 | AUC 0.8133 | lr 0.021311 | mom 0.973 | 47.3 min
epoca  165 | train 0.53395 | val 0.53056 | AUC 0.8092 | lr 0.021200 | mom 0.974 | 47.5 min
epoca  166 | train 0.53505 | val 0.53379 | AUC 0.8097 | lr 0.021091 | mom 0.974 | 47.8 min
epoca  167 | train 0.53572 | val 0.54781 | AUC 0.8067 | lr 0.020981 | mom 0.975 | 48.1 min
epoca  168 | train 0.53775 | val 0.53932 | AUC 0.8001 | lr 0.020872 | mom 0.975 | 48.4 min
epoca  169 | train 0.53954 | val 0.54594 | AUC 0.8077 | lr 0.020764 | mom 0.976 | 48.7 min
epoca  170 | train 0.54028 | val 0.53862 | AUC 0.8039 | lr 0.020656 | mom 0.976 | 49.0 min
epoca  171 | train 0.54291 | val 0.53920 | AUC 0.8073 | lr 0.020549 | mom 0.977 | 49.3 min
epoca  172 | train 0.54594 | val 0.53524 | AUC 0.8054 | lr 0.020443 | mom 0.977 | 49.6 min
epoca  173 | train 0.54866 | val 0.53743 | AUC 0.8023 | lr 0.020337 | mom 0.977 | 49.8 min
epoca  174 | train 0.55432 | val 0.58801 | AUC 0.7891 | lr 0.020231 | mom 0.978 | 50.1 min
epoca  175 | train 0.56372 | val 0.56708 | AUC 0.7974 | lr 0.020126 | mom 0.978 | 50.4 min
epoca  176 | train 0.59342 | val 0.58997 | AUC 0.7535 | lr 0.020022 | mom 0.979 | 50.7 min
epoca  177 | train 0.72038 | val 0.95298 | AUC 0.6825 | lr 0.019918 | mom 0.979 | 51.0 min
epoca  178 | train 0.79748 | val 0.68892 | AUC 0.6961 | lr 0.019815 | mom 0.980 | 51.3 min
epoca  179 | train 0.83653 | val 0.67078 | AUC 0.6627 | lr 0.019712 | mom 0.980 | 51.6 min
epoca  180 | train 0.83289 | val 0.83320 | AUC 0.6756 | lr 0.019610 | mom 0.981 | 51.9 min
epoca  181 | train 0.83037 | val 1.05232 | AUC 0.7363 | lr 0.019508 | mom 0.981 | 52.2 min
epoca  182 | train 0.88381 | val 0.72363 | AUC 0.6822 | lr 0.019407 | mom 0.981 | 52.5 min
epoca  183 | train 0.84594 | val 0.76625 | AUC 0.6091 | lr 0.019306 | mom 0.982 | 52.7 min
epoca  184 | train 0.88092 | val 0.76030 | AUC 0.6550 | lr 0.019206 | mom 0.982 | 53.0 min
epoca  185 | train 0.88800 | val 0.79141 | AUC 0.6542 | lr 0.019106 | mom 0.983 | 53.3 min
epoca  186 | train 0.89923 | val 0.88144 | AUC 0.5931 | lr 0.019007 | mom 0.983 | 53.6 min
epoca  187 | train 0.92379 | val 0.80203 | AUC 0.6601 | lr 0.018909 | mom 0.984 | 53.9 min
epoca  188 | train 0.93667 | val 0.74548 | AUC 0.6641 | lr 0.018811 | mom 0.984 | 54.2 min
epoca  189 | train 0.93857 | val 0.78966 | AUC 0.5972 | lr 0.018713 | mom 0.985 | 54.5 min
epoca  190 | train 0.96671 | val 0.77268 | AUC 0.6419 | lr 0.018616 | mom 0.985 | 54.8 min
epoca  191 | train 0.98915 | val 0.71784 | AUC 0.6500 | lr 0.018519 | mom 0.986 | 55.1 min
epoca  192 | train 1.05527 | val 1.22161 | AUC 0.5573 | lr 0.018423 | mom 0.986 | 55.4 min
